meme,date,class,representation,nacionalism
IMG-20200101-WA0166.jpg,01/01/2020,public_discussion,hero_leader,history
IMG-20200101-WA0254.jpg,01/01/2020,public_discussion,hero_leader,history
IMG-20200102-WA0121.jpg,02/01/2020,persuasive,victim,people
IMG-20200103-WA0202.jpg,03/01/2020,persuasive,savior,people
IMG-20200104-WA0360.jpg,04/01/2020,persuasive,warrior_punisher,armed_forces
IMG-20200105-WA0025.jpg,05/01/2020,persuasive,savior,national_colors
IMG-20200119-WA0200.jpg,19/01/2020,persuasive,ordinary_person,coat_sash
IMG-20200120-WA0042.jpg,20/01/2020,persuasive,victim,coat_sash
IMG-20200121-WA0025.jpg,21/01/2020,persuasive,father_of_the_poor,national_colors
IMG-20200124-WA0243.jpg,24/01/2020,persuasive,victim,national_colors
IMG-20200128-WA0233.jpg,28/01/2020,persuasive,hero_leader,national_colors
IMG-20200202-WA0052.jpg,02/02/2020,public_discussion,hero_leader,idols
IMG-20200120-WA0042.jpg,21/01/2020,persuasive,victim,flag
IMG-20200207-WA0123.jpg,07/02/2020,persuasive,selfless,national_colors
IMG-20200207-WA0123.jpg,08/02/2020,persuasive,selfless,flag
IMG-20200225-WA0288.jpg,25/02/2020,grassroots_action,hero_leader,flag
IMG-20200225-WA0288.jpg,26/02/2020,grassroots_action,hero_leader,armed_forces
IMG-20200301-WA0038.jpg,01/03/2020,grassroots_action,hero_leader,national_colors
IMG-20200305-WA0035.jpg,05/03/2020,public_discussion,victim,national_colors
IMG-20200301-WA0038.jpg,02/03/2020,grassroots_action,hero_leader,armed_forces
IMG-20200313-WA0294.jpg,13/03/2020,persuasive,hero_leader,armed_forces
IMG-20200317-WA0265.jpg,17/03/2020,persuasive,martyr,flag
IMG-20200305-WA0035.jpg,06/03/2020,public_discussion,victim,coat_sash
IMG-20200321-WA0548.jpg,21/03/2020,grassroots_action,hero_leader,national_colors
IMG-20200322-WA0287.jpg,22/03/2020,ambivalence,hero_leader,armed_forces
IMG-20200323-WA0116.jpg,23/03/2020,persuasive,selfless,armed_forces
IMG-20200321-WA0548.jpg,22/03/2020,grassroots_action,hero_leader,flag
IMG-20200325-WA0016.jpg,25/03/2020,persuasive,selfless,flag
IMG-20200326-WA0068.jpg,26/03/2020,persuasive,selfless,national_colors
IMG-20200326-WA0173.jpg,26/03/2020,public_discussion,picaresque_character,coat_sash
IMG-20200328-WA0105.jpg,28/03/2020,public_discussion,hero_leader,armed_forces
IMG-20200401-WA0044.jpg,01/04/2020,persuasive,savior,national_colors
IMG-20200326-WA0068.jpg,27/03/2020,persuasive,selfless,flag
IMG-20200402-WA0416.jpg,02/04/2020,persuasive,warrior_punisher,flag
IMG-20200406-WA0441.jpg,06/04/2020,ambivalence,martyr,flag
IMG-20200409-WA0248.jpg,09/04/2020,public_discussion,picaresque_character,armed_forces
IMG-20200409-WA0255.jpg,09/04/2020,persuasive,father_of_the_poor,coat_sash
IMG-20200412-WA0201.jpg,12/04/2020,public_discussion,victim,national_colors
IMG-20200412-WA0457.jpg,12/04/2020,grassroots_action,hero_leader,people
IMG-20200412-WA0201.jpg,13/04/2020,public_discussion,victim,flag
IMG-20200414-WA0421.jpg,14/04/2020,persuasive,savior,national_colors
IMG-20200414-WA0421.jpg,15/04/2020,persuasive,savior,flag
IMG-20200415-WA0005.jpg,15/04/2020,persuasive,savior,national_colors
IMG-20200321-WA0548.jpg,22/03/2020,grassroots_action,hero_leader,idols
IMG-20200415-WA0171.jpg,15/04/2020,ambivalence,ordinary_person,people
IMG-20200415-WA0005.jpg,16/04/2020,persuasive,savior,flag
IMG-20200418-WA0413.jpg,18/04/2020,public_discussion,martyr,coat_sash
IMG-20200420-WA0230.jpg,20/04/2020,persuasive,martyr,national_colors
IMG-20200418-WA0413.jpg,19/04/2020,public_discussion,martyr,flag
IMG-20200421-WA0719.jpg,20/04/2020,public_discussion,picaresque_character,history
IMG-20200421-WA0719.jpg,21/04/2020,public_discussion,picaresque_character,coat_sash
IMG-20200414-WA0421.jpg,15/04/2020,persuasive,savior,map
IMG-20200423-WA0094.jpg,22/04/2020,persuasive,hero_leader,map
IMG-20200423-WA0094.jpg,23/04/2020,persuasive,hero_leader,coat_sash
IMG-20200421-WA0719.jpg,22/04/2020,public_discussion,picaresque_character,flag
IMG-20200423-WA0142.jpg,23/04/2020,public_discussion,picaresque_character,coat_sash
IMG-20200421-WA0719.jpg,22/04/2020,public_discussion,picaresque_character,armed_forces
IMG-20200424-WA1547.jpg,24/04/2020,grassroots_action,warrior_punisher,coat_sash
IMG-20200424-WA1551.jpg,24/04/2020,grassroots_action,picaresque_character,national_colors
IMG-20200423-WA0142.jpg,24/04/2020,public_discussion,picaresque_character,flag
IMG-20200424-WA1559.jpg,24/04/2020,grassroots_action,selfless,national_colors
