memes,data,classe,representacao,nacionalismo
IMG-20200425-WA0783.jpg,26/04/2020,discussao_publica,martir_injusticado,forcas_armadas
IMG-20200426-WA0021.jpg,26/04/2020,acao_popular,heroi_lider,cores_nacionais
IMG-20200426-WA0021.jpg,27/04/2020,acao_popular,heroi_lider,forcas_armadas
IMG-20200426-WA0022.jpg,26/04/2020,acao_popular,heroi_lider,bandeira
IMG-20200426-WA0022.jpg,27/04/2020,acao_popular,heroi_lider,forcas_armadas
IMG-20200426-WA0040.jpg,26/04/2020,persuasivo,salvador_ungido,forcas_armadas
IMG-20200426-WA0872.jpg,26/04/2020,discussao_publica,salvador_ungido,cores_nacionais
IMG-20200426-WA1060.jpg,26/04/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200424-WA1892.jpg,25/04/2020,persuasivo,heroi_lider,brasao_faixa
IMG-20200427-WA0265.jpg,27/04/2020,persuasivo,honesto_abnegado,brasao_faixa
IMG-20200427-WA1719.jpg,27/04/2020,persuasivo,honesto_abnegado,cores_nacionais
IMG-20200428-WA0395.jpg,28/04/2020,persuasivo,picaro,brasao_faixa
IMG-20200429-WA0721.jpg,29/04/2020,persuasivo,martir_injusticado,cores_nacionais
IMG-20200430-WA0193.jpg,30/04/2020,persuasivo,martir_injusticado,brasao_faixa
IMG-20200430-WA0608.jpg,30/04/2020,persuasivo,vitima_resiliente,cores_nacionais
IMG-20200503-WA0135.jpg,03/05/2020,persuasivo,salvador_ungido,bandeira
IMG-20200505-WA0072.jpg,05/05/2020,discussao_publica,heroi_lider,bandeira
IMG-20200426-WA0872.jpg,27/04/2020,discussao_publica,salvador_ungido,forcas_armadas
IMG-20200505-WA0126.jpg,05/05/2020,discussao_publica,honesto_abnegado,forcas_armadas
IMG-20200508-WA0289.jpg,08/05/2020,persuasivo,vitima_resiliente,cores_nacionais
IMG-20200508-WA0568.jpg,08/05/2020,persuasivo,popular,bandeira
IMG-20200509-WA0046.jpg,09/05/2020,acao_popular,guerreiro_justiceiro,cores_nacionais
IMG-20200509-WA0364.jpg,09/05/2020,persuasivo,heroi_lider,cores_nacionais
IMG-20200512-WA0633.jpg,12/05/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200514-WA0086.jpg,14/05/2020,discussao_publica,martir_injusticado,brasao_faixa
IMG-20200514-WA0207.jpg,14/05/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200515-WA0109.jpg,15/05/2020,acao_popular,honesto_abnegado,bandeira
IMG-20200517-WA0125.jpg,17/05/2020,persuasivo,martir_injusticado,cores_nacionais
IMG-20200518-WA0301.jpg,18/05/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200518-WA0307.jpg,18/05/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200519-WA0025.jpg,19/05/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200520-WA0006.jpg,20/05/2020,discussao_publica,picaro,bandeira
IMG-20200520-WA0275.jpg,20/05/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200521-WA0228.jpg,21/05/2020,persuasivo,pai_dos_pobres,bandeira
IMG-20200509-WA0364.jpg,10/05/2020,persuasivo,heroi_lider,povo
IMG-20200522-WA0386.jpg,22/05/2020,persuasivo,guerreiro_justiceiro,brasao_faixa
IMG-20200522-WA0404.jpg,22/05/2020,persuasivo,heroi_lider,brasao_faixa
IMG-20200522-WA0411.jpg,22/05/2020,persuasivo,guerreiro_justiceiro,bandeira
IMG-20200509-WA0046.jpg,10/05/2020,acao_popular,guerreiro_justiceiro,forcas_armadas
IMG-20200522-WA0386.jpg,23/05/2020,persuasivo,guerreiro_justiceiro,povo
IMG-20200522-WA0428.jpg,22/05/2020,persuasivo,guerreiro_justiceiro,cores_nacionais
IMG-20200522-WA0428.jpg,23/05/2020,persuasivo,guerreiro_justiceiro,forcas_armadas
IMG-20200523-WA0017.jpg,23/05/2020,discussao_publica,guerreiro_justiceiro,bandeira
IMG-20200522-WA0428.jpg,23/05/2020,persuasivo,guerreiro_justiceiro,povo
IMG-20200523-WA0020.jpg,22/05/2020,persuasivo,guerreiro_justiceiro,bandeira
IMG-20200523-WA0147.jpg,23/05/2020,discussao_publica,honesto_abnegado,bandeira
IMG-20200523-WA0017.jpg,24/05/2020,discussao_publica,guerreiro_justiceiro,forcas_armadas
IMG-20200523-WA0165.jpg,23/05/2020,discussao_publica,popular,bandeira
IMG-20200523-WA0165.jpg,24/05/2020,discussao_publica,popular,forcas_armadas
IMG-20200523-WA0268.jpg,23/05/2020,discussao_publica,popular,bandeira
IMG-20200524-WA0290.jpg,24/05/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200523-WA0020.jpg,23/05/2020,persuasivo,guerreiro_justiceiro,povo
IMG-20200524-WA0440.jpg,24/05/2020,persuasivo,guerreiro_justiceiro,cores_nacionais
IMG-20200523-WA0268.jpg,24/05/2020,discussao_publica,popular,forcas_armadas
IMG-20200415-WA0171.jpg,16/04/2020,duvida,popular,esporte
IMG-20200525-WA0239.jpg,23/05/2020,discussao_publica,guerreiro_justiceiro,esporte
IMG-20200525-WA0239.jpg,24/05/2020,discussao_publica,guerreiro_justiceiro,forcas_armadas
IMG-20200531-WA0335.jpg,31/05/2020,discussao_publica,heroi_lider,historia_imperio
IMG-20200609-WA0110.jpg,09/06/2020,persuasivo,martir_injusticado,cores_nacionais
IMG-20200609-WA0112.jpg,09/06/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200531-WA0335.jpg,01/06/2020,discussao_publica,heroi_lider,forcas_armadas
IMG-20200612-WA0001.jpg,11/06/2020,persuasivo,guerreiro_justiceiro,forcas_armadas
IMG-20200524-WA0440.jpg,25/05/2020,persuasivo,guerreiro_justiceiro,povo
IMG-20200612-WA0001.jpg,11/06/2020,persuasivo,guerreiro_justiceiro,povo
IMG-20200612-WA0001.jpg,12/06/2020,persuasivo,guerreiro_justiceiro,cores_nacionais
