memes,data,mes,semana,representacao
IMG-20200101-WA0166.jpg,01/01/2020,janeiro,semana 01,heroi_lider
IMG-20200101-WA0167.jpg,01/01/2020,janeiro,semana 01,heroi_lider
IMG-20200101-WA0254.jpg,01/01/2020,janeiro,semana 01,heroi_lider
IMG-20200102-WA0121.jpg,02/01/2020,janeiro,semana 01,vitima_resiliente
IMG-20200102-WA0126.jpg,02/01/2020,janeiro,semana 01,vitima_resiliente
IMG-20200102-WA0137.jpg,02/01/2020,janeiro,semana 01,popular
IMG-20200102-WA0174.jpg,02/01/2020,janeiro,semana 01,vitima_resiliente
IMG-20200103-WA0202.jpg,03/01/2020,janeiro,semana 01,salvador_ungido
IMG-20200104-WA0360.jpg,04/01/2020,janeiro,semana 01,guerreiro_justiceiro
IMG-20200105-WA0025.jpg,05/01/2020,janeiro,semana 01,salvador_ungido
IMG-20200114-WA0008.jpg,14/01/2020,janeiro,semana 03,pai_dos_pobres
IMG-20200115-WA0111.jpg,15/01/2020,janeiro,semana 03,pai_dos_pobres
IMG-20200119-WA0200.jpg,19/01/2020,janeiro,semana 03,popular
IMG-20200120-WA0042.jpg,20/01/2020,janeiro,semana 04,vitima_resiliente
IMG-20200121-WA0025.jpg,21/01/2020,janeiro,semana 04,pai_dos_pobres
IMG-20200124-WA0243.jpg,24/01/2020,janeiro,semana 04,vitima_resiliente
IMG-20200128-WA0233.jpg,28/01/2020,janeiro,semana 05,heroi_lider
IMG-20200202-WA0052.jpg,02/02/2020,fevereiro,semana 05,heroi_lider
IMG-20200204-WA0272.jpg,04/02/2020,fevereiro,semana 06,picaro
IMG-20200207-WA0123.jpg,07/02/2020,fevereiro,semana 06,honesto_abnegado
IMG-20200217-WA0441.jpg,17/02/2020,fevereiro,semana 08,honesto_abnegado
IMG-20200225-WA0288.jpg,25/02/2020,fevereiro,semana 09,heroi_lider
IMG-20200301-WA0038.jpg,01/03/2020,marco,semana 09,heroi_lider
IMG-20200305-WA0035.jpg,05/03/2020,marco,semana 10,vitima_resiliente
IMG-20200313-WA0234.jpg,13/03/2020,marco,semana 11,picaro
IMG-20200313-WA0294.jpg,13/03/2020,marco,semana 11,heroi_lider
IMG-20200314-WA0064.jpg,14/03/2020,marco,semana 11,picaro
IMG-20200314-WA0434.jpg,14/03/2020,marco,semana 11,vitima_resiliente
IMG-20200317-WA0265.jpg,17/03/2020,marco,semana 12,martir_injusticado
IMG-20200318-WA0022.jpg,18/03/2020,marco,semana 12,honesto_abnegado
IMG-20200319-WA0310.jpg,19/03/2020,marco,semana 12,heroi_lider
IMG-20200321-WA0548.jpg,21/03/2020,marco,semana 12,heroi_lider
IMG-20200322-WA0287.jpg,22/03/2020,marco,semana 12,heroi_lider
IMG-20200323-WA0116.jpg,23/03/2020,marco,semana 13,honesto_abnegado
IMG-20200325-WA0016.jpg,25/03/2020,marco,semana 13,honesto_abnegado
IMG-20200326-WA0068.jpg,26/03/2020,marco,semana 13,honesto_abnegado
IMG-20200326-WA0173.jpg,26/03/2020,marco,semana 13,picaro
IMG-20200326-WA0396.jpg,26/03/2020,marco,semana 13,vitima_resiliente
IMG-20200328-WA0105.jpg,28/03/2020,marco,semana 13,heroi_lider
IMG-20200401-WA0044.jpg,01/04/2020,abril,semana 14,salvador_ungido
IMG-20200402-WA0416.jpg,02/04/2020,abril,semana 14,guerreiro_justiceiro
IMG-20200404-WA0328.jpg,04/04/2020,abril,semana 14,vitima_resiliente
IMG-20200406-WA0441.jpg,06/04/2020,abril,semana 15,martir_injusticado
IMG-20200406-WA0524.jpg,06/04/2020,abril,semana 15,salvador_ungido
IMG-20200408-WA0358.jpg,08/04/2020,abril,semana 15,guerreiro_justiceiro
IMG-20200409-WA0248.jpg,09/04/2020,abril,semana 15,picaro
IMG-20200409-WA0255.jpg,09/04/2020,abril,semana 15,pai_dos_pobres
IMG-20200412-WA0201.jpg,12/04/2020,abril,semana 15,vitima_resiliente
IMG-20200412-WA0457.jpg,12/04/2020,abril,semana 15,heroi_lider
IMG-20200413-WA0267.jpg,13/04/2020,abril,semana 16,picaro
IMG-20200414-WA0421.jpg,14/04/2020,abril,semana 16,salvador_ungido
IMG-20200415-WA0005.jpg,15/04/2020,abril,semana 16,salvador_ungido
IMG-20200415-WA0006.jpg,15/04/2020,abril,semana 16,salvador_ungido
IMG-20200415-WA0171.jpg,15/04/2020,abril,semana 16,popular
IMG-20200418-WA0413.jpg,18/04/2020,abril,semana 16,martir_injusticado
IMG-20200420-WA0230.jpg,20/04/2020,abril,semana 17,martir_injusticado
IMG-20200421-WA0719.jpg,21/04/2020,abril,semana 17,picaro
IMG-20200423-WA0094.jpg,23/04/2020,abril,semana 17,heroi_lider
IMG-20200423-WA0142.jpg,23/04/2020,abril,semana 17,picaro
IMG-20200424-WA1547.jpg,24/04/2020,abril,semana 17,guerreiro_justiceiro
IMG-20200424-WA1551.jpg,24/04/2020,abril,semana 17,picaro
